löpnummer,län,kommun,socken,föreningensnamn,föreningensinstiftelseår,objekt,formavägande,intressenter,fastighetsbeteckning,adress,arkitekt,byggmästare,nybyggnadsår,miljö,renoveringombyggnad,byggnaderfunktioner,verksamhetidag,tidigarefunktion,litteratur,arkivhandlingar,källa,anmärkning
0347,O,Sotenäs,Kungshamn,Föreningen Folkets Hus i Kungshamn upa,1910,Folkets Hus i Kungshamn,ekonomisk förening upa,"fackförening, s-förening, kvinnoklubb (S), enskilda",Gravarne Sotenäs 60:6,Hallindenvägen 2,Alf Gustavsson ATG Byggkonsult AB,BPA Bygg,1986,inne i tätortsbebyggelse,,"scen, kök, studielokal, bibliotek, föreningsexpedition, danslokal","mötesverksamhet, föreningsexpedition, teater, konstutställningar, studiecirklar",,"Föreningen Folkets Hus i Kungshamn 1910-1985, Gösta Andersson, Kungshamn, 1985","i lokalen 1910- protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier","FHP-enkät, SF","Föreningen har haft ett tidigare objekt på samma plats, som revs för att bygga nytt."
0348,O,Kungälv,Kungälv,Byggnadsförening Folkets Hus och Park ekonomisk förening i Kungälv,1950,Kungälvsparken,ekonomisk förening upa,"fackförening, arbetarekommun, enskilda, ideella föreningar, idrottsföreningar","Stadsäga 155, Kungälv","Uddevallavägen, Kungälv",,,1930,i anslutning till tätortsbebyggelse,,,,,,ARAB: organisationsklipp vol. 7 [samling],"FHP-enkät, FPC, Ny Tid 30 april 1947",
0349,AC,Skellefteå,,,,Kusmarks Folkets Hus,,,,,,,,,,,,,,,FHP,
0350,W,Borlänge,,Föreningen Folkets Hus Kvarnsveden,1906,Kvarnsvedens Folkets Hus,ekonomisk förening,,Forum 1,"Kvarnforsplan, Kvarnsveden",,,1906,,,,,,"Föreningen Folkets Hus Kvarnsveden 1906-1956 : denna skrift är utgiven i anledning av föreningens 50-åriga tillvaro. Hultqvist, Peter: Kvarnsvedens Folkets Hus 75 år: en minnesskrift till Kvarnsvedens Folkets husförenings 75-årsjubileum","Dalarnas Folkrörelsearkiv 2, 3 hm 1906-1987","FHP, SF, NAD, FAW",
0351,M,Åstorp,,Kvidinge Folkets husförening upa,1945,Kvidinge Folkets Hus,ideell förening,"arbetarekommun, enskilda, kommun",,"Linnégatan, Kvidinge",,,1919,i anslutning till tätortsbebyggelse,,,,,,,FHP-enkät,
0352,BD,Överkalix,Överkalix,Kypasjärvi Folkets husförening,1945,Kypasjärvi Folkets Hus,ideell förening,enskilda,Kypasjärvi 1:15,,,Yngve och Östen Ekblom,1948 (1950),inne i tätortsbebyggelse,,,,,,,"FHP-enkät, LS",
0353,K,Olofström,,,,Kyrkhult Folkets Hus,,,,,,,,,,,,,,Kronobergsarkivet 17 vol. 1951-1969,"FHP, FA",
0354,BD,Jokkmokk,,Kåbdalis Folkets husförening,1944,Kåbdalis Folkets Hus,,,,,,,1946,,"1952, 1959, 1965","dans, bio",,,,"FA Norrbotten, Luleå 1944-1971 A-B, D-G, M","FHP, FA, LS, NAD",
0355,Z,Bräcke,Håsjö,Kälarne Folkets husförening,1986,Kälarne Folkets Hus,kommunalt bolag,kommun,Västanede 3:184,Stationsvägen 15,Karl Axel Suwe,"Hilding Åslund, Olle Wikström",1955,inne i tätortsbebyggelse,,"studielokal, föreningsexpedition","mötesverksamhet, föreningsexpedition, bio, studiecirklar, medborgarkontor",Kommunkontor,,"I lokalen 1986- protokoll, räkenskaper, verksamhetsberättelser",FHP-enkät,"Föreningen har haft ett tidigare objekt på samma gata, som blev hotell."
0356,M,Kävlinge,Kävlinge,Andelsföreningen Kjeflinge Folkets Park upa,1906,Kjeflinge Folkets Park,ekonomisk förening upa,enskilda,36:45,"Dalgatan, Kävlinge",,,,inne i tätortsbebyggelse,"1919 dansbana, 1938 musikpaviljong.","Naturpark. Servering, utescen, skjutbana. Huset brann ner 1992.",Hyrs ut till olika föreningar.,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 39",Kävlinge kommunarkiv 1905-,"FHP-enkät, inventering",
0357,U,Köping,Köping,Köpings Folkets husförening,1930,Köpings Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, SSU-klubb, enskilda, kommun",Ran 1,,Riksbyggen,BPA,1967-1970,inne i tätortsbebyggelse,"1979 upprustning av serveringslokalen. 1994 total upprustning för att utbildning sker där nu - gymnasial utbildning, restaurangprogrammet.","scen, kök, restaurang, studielokal, bibliotek, föreningsexpedition, danslokal, bespisning","mötesverksamhet, föreningsexpedition, teater, dans, restaurang, konstutställning, studiecirklar, bågskytte",,"Köpings Folkets Hus, Karl-Erik Wallbom, Köping, 1980","i lokalen 1930- protokoll, korrespondens, räkenskaper, ritningar",FHP-enkät,
0358,U,Köping,Köping,Föreningen Folkets Park upa,1905,Köpings Parken,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, SSU-klubb, enskilda",Skogsborg 1:13,"Pungbovägen 31, Köping",,,1905,i anslutning till tätortsbebyggelse,,,,,,ARAB: [samling]: Organisationsklipp vol. 28,"FHP-enkät, SF, FPC, Västmanlands Folkblad 4 juli 1945 och 4 juli 1955, Folkbladet Västerås 22 juli 1960",
0359,Z,Ragunda,Ragunda,Folkets Hus byggnadsförening,1931,Köttsjöns Folkets Hus,ideell förening,enskilda,Köttsjön 1:18,Köttsjön,,,1938,utanför tätortsbebyggelse,"1950-talet: vatten, avlopp,  invändig renovering främst köket, iordningställande av vaktmästarbostad 1980-talet: tillbyggnad med toaletter, handikappramp, duschrum (matkällare under markplanet) 1990-talet: bakstuga på samma gårdsplan, renovering av kök efter köldskada, renovering av badrum i vaktmästarbostaden","scen, kök, danslokal, lilla salen med bibliotek och studielokal, bakstuga (fristående byggnad) 1996-1997, vaktmästarbostad på övre plan","mötesverksamhet, teater, studiecirklar, musikkaféer, vävstuga, uthyrning",,,"Landsarkivet i Östersund protokoll, räkenskaper, verksamhetsberättelser","FHP-enkät, SF, NM",
0360,BD,Arjeplog,,,,Laisvall Folkets Hus,,,,,,,,,,,,,,,FHP-enkät,
0361,BD,Boden,,Lakaträsk Folkets husförening,1915,Lakaträsk Folkets Hus,,,,,,,1938,,,"Samlingssal, scen med två klädloger, kök och vaktmästarbostad",,,,,"FHP, SF, LS",
0362,S,Hagfors,Norra Råda,Lakene Folkets husförening,1919,Lakene Folkets Hus,ekonomisk förening upa,kommun,Lakene 1:93,,,,1933-1935,utanför tätortsbebyggelse,,,,,,A. ARAB: Folkets Hus och Parker; övriga landet vol. 7 fragment [samling] B. Värmland/Dals regionarkiv,FHP-enkät,Postadress Råda Även Folkets Park
0363,S,Växjö,Aneboda,Lammhults byggnadsförening upa,1915,Lammhult Folkets Hus,ideell förening,,"Ljungåsa 1:20, 49",,,,1915,,,,Nedbrunnet,,,Kronobergsarkivet 20 vol. 1911-1993 ARAB: Organisationsklipp vol. 26 [samling],"FHP-enkät, FA, Smålands Folblad 13 jan 1956",Huset brann ner 1937. Det var en film vid en biovisning som självantände. Samma år byggde man ett nytt hus.
0364,F,Vetlanda,Lannaskede,Föreningen Folkets Park i Landsbro upa,1930,Landsbro Folkets Park,ekonomisk förening upa,"fackförening, s-förening, enskilda",Broby (Skattegård) 1:26,Sävsjövägen 40,,,,i anslutning till tätortsbebyggelse,,,,,Bebyggelse och kulturlandskap: Regionalt kulturminnesvårdsprogram för Jönköpings Län Del 1. Meddelanden från Jönköpings Läns Hembygdsförbund och stiftelsen Jönköpings Läns Museum LIX s. 177,I lokalen,"FHP-enkät, FPC",
0365,BD,Överkalix,,Lansjärv folketshusförening,1952,Lansjärv Folkets Hus,ekonomisk förening upa,"fackförening, s-förening, enskilda, kommun",Västervik 134,Storv. 40,,,1955,inne i tätortsbebyggelse,1976 renovering,"scen, biograf, kök, studielokal, bibliotek, danslokal","mötesverksamhet, teater, bio, dans, konstutställningar, studiecirklar",,,I lokalen,FHP-enkät,
0366,BD,Kalix,Neder-Kalix,Lantjärvs Folkets husförening,1947,Lantjärvs Folkets Hus,ekonomisk förening upa,arbetarekommun,Vånafjärden 4:26,,,,1947,utanför tätortsbebyggelse,,,,militärbarack,,I lokalen ARAB: [samling]: organisationsklipp,"FHP-enkät, Norrländksa Social-Demokraten 7/1 1948",
0367,S,Filipstad,Rämmen,Lesjöfors Folkets husförening upa,1906,Lesjöfors Folkets Hus,ekonomisk förening upa,,Stg 274 Kv Fanborgen,Bergslagsgatan 84,,,1929,i anslutning till tätortsbebyggelse,,,,Förvaltarbostad,,Arkivhandlingar i lokalen NM inventering 1958 fotografier,"FHP-enkät, SF, NM, NAD","1928 byttes gamla FH mot förvaltarbostaden på bruket, som byggdes om till FH."
0368,,,,Letsbo byggnadsförening,,,,,,,,,,,,,,,,,FHP,Postadress Tallåsen
0369,C,Tierp,Österlövsta,Leufstabruks folketshusförening,1924,Lövstabruks Folkets Hus,ideell förening,"arbetarekommun, s-förening, enskilda, lokala föreningar",Lindbrg 1:1,,Byggmästare A. Hammarbom Lövstabruk,A. Hammarbom Lövstabruk,1924,utanför tätortsbebyggelse,,,,,"Olarsbo, Mary Ann: Utdrag ur protokoll från Leufstabruks Folkets Hus Förening u p a 1924-1948",I lokalen och på Folkrörelsernas arkiv i Uppsala,"FHP-enkät, SF",
0370,G,Älmhult,Stenbrohult,Liatorps Medborgarhusförening upa,1956,Medborgarhuset Liatorp,ekonomisk förening upa,"enskilda, företag",,Regnbågsvägen 32,,"Siö, senare Nybe",,inne i tätortsbebyggelse,"1994-1995: Nytt kök, renovering A-, B- och C-sal, diskrum, ny elpanna, drännering runt hela byggnaden, nytt tak, nya möbler i A-salen (bord och stolar 200 platser). Kostnad 2,5 miljoner kronor.","scen, biograf, kök, studielokal, föreningsexpedition, danslokal","mötesverksamhet, föreningsexpedition, teater, dans, konstutställningar, studiecirklar, bingo",,,"i lokalen 1991- protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier",FHP-enkät,
0371,O,Lidköping,,Lidköpings Folkets husförening,1906,Lidköpings Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, enskilda, kommun, idrottsföreningar",Galathea 5,"Stenportsgatan 17, Lidköping",,,1935,inne i tätortsbebyggelse,,,,,"Ljungblom, Jenny: Lidköpings Folkets husrörelse och kommunistskräcken under andra världskriget, 1998",Skaraborgs läns folkrörelsearkiv 47 vol. 1906-1985 ARAB: Folkets Hus och Parker; övriga landet vol. 7 fragment [samling],"FHP-enkät, SF, NM, FA, NAD, ARAB",Arkiv tillsammans med Folkets Park Invigt 14 dec 1935 Ny Tid 5 dec 1935Skaraborgaren 6 dec 1935
0372,O,Lidköping,,Lidköpings Folkets husförening,1906,Lidköpings Folkets Park,ekonomisk förening,,,,,,1907,,,,,,Minnesskrift : Folkets Park Lidköping 1910-1930 / Albin Sten.,Skaraborgs läns folkrörelsearkiv 47 vol. 1906-1985 ARAB: Folkets Hus och Parker; övriga landet vol. 7 fragment [samling],"FHP, SF, FPC, NAD",Arkiv tillsammans med Folkets Hus
0373,O,Lilla Edet,Lilla Edet,Folkets Hus i Lilla Edet ekonomisk förening,1906,Lilla Edets Folkets Hus,ekonomisk förening,"fackförening, arbetarekommun, s-förening, SSU-klubb, enskilda, kommun","Torgbacken 17, 19",Göteborgsvägen 59 och 61,Riksbyggen,BPA,1952,inne i tätortsbebyggelse,,,,,,I lokalen,"FHP-enkät, SF",
0374,Z,Härjedalen,Lillhärdal,Lillhärdals Folkets Hus byggnadsförening upa,1916,Lillhärdals Folkets Hus,ekonomisk förening upa,"arbetarekommun, s-förening, kommun",Stiftelsetomten 1:1,Morvägen 1,,,1924,i anslutning till tätortsbebyggelse,,,,,,ARAB: Folkets Hus och Parker; övriga landet vol. 7 fragment [samling],"FHP-enkät, SF, ARAB",Invigt 1926
0375,W,Falun,,,,"Lilltorpet, IOGT-NTO",,,,,,,,,,,,,,,FHP,
0376,M,Malmö,,Byggnadsföreningen Limhamns Folkets Hus och Park upa,1898,Limhamns Folkets Hus,ekonomisk förening upa,"fackförening, s-förening, enskilda",Geten 2,Linnégatan 61,,,1955,inne i tätortsbebyggelse,,"samlingslokaler, expeditioner, post, restaurang, stadsbibliotek, fritidsförvaltning, socialbyrå",,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 45 3 Limhamns Folkets Hus och 1 Park / Bert Åkesson","NM inventering 1958 vykort ARAB: Folkets husföreningar vol. 2 [samling] fotografi Arbetarrörelsens arkiv i Malmö 2, 5 hm 1898-1971","FHP-enkät, inventering  Malmö, NM , AAM",
0377,O,Tranemo,Södra Åsarp,Folkets Hus i Limmared upa / Byggnadsföreningen Framåt,1928,Limmareds Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, enskilda",Limmared 32-1,"Backgatan 2, Limmared",,,1937,inne i tätortsbebyggelse,1962 tillbyggnad av danslokal 1999 byggdes biolokalen om så att den även kan användas till pub,"scen, biograf, kök, restaurang, studielokal, danslokal, fritidsgård","dans, restaurang, pubverksamhet",,,"i lokalen 1937- protokoll, korrespondens, räkenskaper, verksamhetsberättelser, ritningar ARAB: Folkets Hus och Parker; övriga landet vol. 7 fragment [samling]","FHP-enkät, SF","Föreningen har även haft en folkets park i utkanten av samhället, som är riven"
0378,T,Lindesberg,Linde,Föreningen Folkets Hus i Lindesberg upa,1908,Lindesberg Folkets Hus,ideell förening,"fackförening, arbetarekommun, s-förening, enskilda",Käglan 15,Kristinavägen 13,Ingenjör G. Ställberg,Gustav Halvarsson,1922,inne i tätortsbebyggelse,,,,,"Sundin, Albert: Historik över Folkets Hus och Folkets Park i Lindesberg 1908-1948",Folkrörelsearkivet i Örebro samt i lokalen,"FHP-enkät, SF, FA, NM",Den första verksamheten försiggick i logelokal 1902-1922
0379,H,Emmaboda,Vissefjärda,Föreningen Folkets Hus i Lindås upa,1909,Lindås Folkets Hus,ideell förening,"fackförening, enskilda","Emmabo 1:100, 1:64",Södra Lindåsgatan 14,,Aron Ottosson,1926,inne i tätortsbebyggelse,,,,,,ARAB: Folkets Hus och Parker; övriga landet vol. 7 fragment [samling] samt hos Vissefjärda arkivförening,"FHP-enkät, SF, ARAB",
0380,W,Falun,,Lingheds byggnadsförening,1908,Lingheds Folkets Hus,,kommunalt driftsbidrag,"Linghed 37:18, 37:35",,,,1910,,,,,,,"Dalarnas Folkrörelsearkiv 0, 2 hm 1908-1981","FHP, SF, NAD, FAW",
0381,E,Linköping,,Föreningen Folkets Park upa i Linköping,1921,Linköpings Folkets Park Cupolen,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, enskilda, kommun",Ombudsmannen 2,Majgatan 4,,,1918,i anslutning till tätortsbebyggelse,,,,,"Folkets Parks teater Linköping 1921-1946 Folkets Park, Linköping 50 år : historik 1921-1971","Linköpings föreningsarkiv: Folkets Park 5 vol. 1927-1967 Linköpings föreningsarkiv: Folkets Hus och AB Folkets Park 3 vol. 1900-1953 Linköpings föreningsarkiv Föreningen Folkets Hus Linköping 52 vol. 1879, 1927-1992","FHP-enkät, SF, FPC, FA, NAD",Parken startades av FH-föreningen.
0382,O,Göteborg,,Liseberg,1923,Liseberg,kommunalt bolag,kommun,,Örgrytevägen 5,,,1923,,,,,,"Nilsson, Bo Sigvard / Johansson, Bo: Liseberg - Från komark till Nöjespark",I lokalen,FHP-enkät,
0383,Y,Ånge,Torp,Ljungaverks Folkets husförening upa,1929,Ljungaverks Folkets Hus Forum,ekonomisk förening upa,"fackförening, s-förening, enskilda",Västerhångsta 7:33,Folkets Husvägen,,,1955,inne i tätortsbebyggelse,,,,,"Nyberg, Helge: Ljungaverks Folkets husförening 50 år : 1929-1979, 1980 Folkets Hus Forum Ljungaverk 40 års jubileum 1955-1995",I lokalen,"FHP-enkät, SF",
0384,G,Ljungby,Ljungby,Ljungby Folkets Hus och parkförening,1922,Ljungby Folkets Park,,,,,,,1922,,,,,,,Ljungby kommuns centralarkiv 52 vol. 1922-1973 och Kronobergsarkivet,"SF, FPC, NAD, FA",Arkiv tillsammans med Folkets Hus
0385,E,Linköping,,Folkets Park Ljungsbro,1924,Ljungsbro Folkets Park Ljungsbroparken,ekonomisk förening upa,,Folkparken 1:1,,,,1929,inne i tätortsbebyggelse,,,,,Folkets Park i Ljungsbro 25 år Ljungsbro Folkets Park 70 år,FA Linköping samt i lokalen,"FHP-enkät, SF, FPC",
0386,O,,,Folkets Hus byggnadsförening u p a Ljungskile,1934,Ljungskile Folkets Hus,ekonomisk förening,,,,,,1963,,,,,,,"Bohusläns föreningsarkiv, Uddevalla 1 vol. ARAB: Folkets Hus och Parker; övriga landet vol. 7 fragment [samling]","FHP, FA, NAD",
0387,X,Ljusdal,Ljusdal,,,Ljusdals Folkets Hus,,,,,,,,,,,,,,,FHP,
0388,X,Söderhamn,Ljusne,Lokalföreningen Folkets Hus Ljusne,1917,Ljusne Folkets Hus och Park,,,,,,,FH 1924 FP c:a 1900,,,,,,"Folkparksfrågan i Ljusne : Folkparkskommitténs utredning, Söderhamn 1942",Folkrörelsearkivet i Gävleborgs län: FH 1877-1980,"FHP, SF, FPC, NAD",
0389,X,Ljusdal,,Folkets Hus Los,1931,Los Folkets Hus,ekonomisk förening,,,,,,1910,,,,,,,Folkrörelsernas arkiv i Gävleborgs län 18 vol. 1908-1974 ARAB: organisationsklipp vol. 7 [samling],"FHP, NAD, FAX, Hälsinge Kuriren 15 sept 1960, 29 dec 1960",
0390,W,Ludvika,,Ludvika byggnadsförening,1904,Ludvika Folkets Hus,,,,,,,1904,,,,,,"Ericsson, Sven E: Festskrift utgiven till invigningen av Ludvika Folkets Hus den 19 okt 1958","Dalarnas Folkrörelsearkiv 2,2 hm 1902-1980 ARAB: Folkets husföreningar vol. 2 [samling] fotografier, historik","FHP, SF, NAD, ARAB",Jfr Folkets Hus Ludvika 1950
0391,Y,Kramfors,,Lunde Folkets husförening,1907,Lunde Folkets Hus,,,,,,,,,,,,,,Föreningsarkivet  i Västernorrland ; Härnösand 63 vol. 1933-1986,"FHP, SF, FAY, NAD","Byggdes om till FH 1923. 1926 förstördes de äldre delarna av arkivet i en brand,"
0392,X,Hudiksvall,Forsa,Lunds byggnadsförening upa,1917,Forsa Folkets Hus,ekonomisk förening upa,"arbetarekommun, textilarbetare","Sammanföring nr 2044, Berglock 1:12, Bäck 4:5, Bäck 4:13","Lundvägen 8, 820 65 Forsa",,,1920,utanför tätortsbebyggelse,,"scen, biograf, kök, studielokal, danslokal","mötesverksamhet, bio, studiecirklar",,,"Folkrörelsearkivet, Gävle: protokoll, räkenskaper, verksamhetsberättelser ARAB [samling]: Organisationsklipp vol. 18","FHP-enkät, Textilarbetaren nr 1 1928",
0393,K,Karlskrona,Augerum,Lyckeby arbetares byggnadsförening upa,1935,Lyckeby Folkets Hus,ideell förening,"s-förening, SSU-klubb, enskilda",Kronetorp 2,Riksvägen 51,,,1946,inne i tätortsbebyggelse,,,,,,Folkrörelsearkivet i Bräkne-Hoby 1 vol. 1918-1970,"FHP-enkät, FA, NAD",
0394,AC,Lycksele,,Lycksele medborgarhusförening upa,1952,Medborgarhuset Lycksele,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, enskilda, kommun, olika föreningar på orten",Medborgaren 1,Norra Torggatan 12,Gustaf Lettström,,1960,inne i tätortsbebyggelse,,,,,,I lokalen samt på Folkrörelsernas arkiv i Umeå,FHP-enkät,
0395,O,Lysekil,,Sjöbols Folkets husförening,1908,Lyse Folkets Hus,,,,,,,,,,,,Boningshus,,,"FHP, SF",Inköpt 1909 och ombyggt till FH.
0396,O,Lysekil,Lysekil,Föreningen Folkets Hus i Lysekil upa,1901,Folkets Hus i Lysekil,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, SSU-klubb, enskilda, kommun",Gamlestan 15:1,"Kungsgatan 17, Lysekil",FHR Stockholm,Heden,1947,inne i tätortsbebyggelse,"1977 renovering samlingslokaler/teater 1989 Renovering kontor, samlingslokaler vån. 5, hantverkslokaler 1996 renovering biograf/teaterfoaje","scen, biograf, kök, studielokal, föreningsexpedition, danslokal","mötesverksamhet, föreningsexpedition, teater, bio, konstutställning, studiecirklar, ungdomsgård",,,"Bohusläns föreningsarkiv 1900-1991; 1,75 hm protokoll, korrespondens, räkenskaper, verksamhetsberättelser, ritningar, fotografier NM: inventeringsrapport 1958, fotografi","FHP-enkät, FA, NM, NAD","Föreningen har haft två hus tidigare: Kronberget, Lysekil 1905-1948 Rosvikstorg, Lysekil 1901-1903 Blev bostad I båda fallen skaffade man nytt för att det låg på fel ställe, och man ville ha modernare."
0397,AB,Stockholm,,,,Långholmens Folkets Hus & Park,,,,,,,,,,,,,,,FHP,Låg på en udde på Långholmen
0398,W,Hedemora,,"Föreningen Folkets Hus, Långshyttan",1907,Långshyttans Folkets Hus,ekonomisk förening upa,"fackförening, s-förening, enskilda, kommunalt driftsbidrag",Långshyttan 5:25,Björkallén 1,Gunnar Gräslund,,1951,inne i tätortsbebyggelse,1979,,,,"Larsson, MaTS: Folkets Hus Långshyttan 90 år 1907-1997, Långshyttan 1997","I lokalen samt ARAB Gunnar Gräslunds arkiv vol. 21 NM inventeringsrapport 1958, vykort","FHP-enkät, NM, FAW",
0399,H,Kalmar,Åby,Läckeby Folkets Hus,1933,Läckeby Folkets Hus,ideell förening,"fackförening, arbetarekommun, s-förening",,Harmoniv. 9,,,,utanför tätortsbebyggelse,,,fritidsgård,IOGT-lokal,,"I lokalen 1930- ARAB [samling]: Folkets Hus och Parker; övriga landet vol. 7, fragment","FHP-enkät, ARAB",
0400,M,Osby,Lönsboda,Lönsboda Folkets Hus och parkförening,1933,Lönsboda Folkets Hus och Park,,,,,,,1936,,,,,,,,"FHP, SF",
0401,Z,Strömsund,Tåsjö,Lövvikens Folkets husförening,1946,Lövviks Folkets Hus Gläntan,ekonomisk förening upa,enskilda,Lövvik 1:80,,,,,utanför tätortsbebyggelse,,,,,,,FHP-enkät,
0402,AC,Skellefteå,,,,Lövånger Folkets Hus,,,,,,,,,,,,,,,FHP,
0403,BD,Gällivare,Malmberget,Malmbergets Folkets husförening,1896,Malmbergets Folkets Hus,,,,,,,1896,,,,,,Om sextio äro villiga. Malmbergets Folkets Hus 1896-1946. Julfacklan 1897 s. 4-5 ill.,"FA Norrbotten, Luleå 1895-1966 ARAB: [samling] organisationsklipp","SF, FA, LS",Brann ner 1953. Nytt FH byggdes på samma tomt. Jfr 1336
0404,M,Malmö,,Folkets Hus i Malmö AB,1943,"Malmö Folkets Hus, Malmö konferenscenter",aktiebolag,fackförening,Ärligheten 1,Olof Palmes plats 1,Hans Wessman,,1943-1947,inne i tätortsbebyggelse,,"expeditioner, samlingssalar, restaurang, post, bank, teater",,,"Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets Park i Malmöhus län, Lund 1981 s. 45. Malmö Folkets Hus  (Tidskrift 1971-98)",Arbetarrörelsens arkiv i Malmö 6 vol. 1888-2000 Skånes arkivförbund 1 vol. 1943-1963 ARAB: Folkets husföreningar vol. 2 [samling] fotografi ARAB [samling]: Organisationsklipp vol. 12,"FHP-enkät, inventering  Malmö, NAD, FA, ARAB, Arbetet 26 maj 1957, Piteå Tidningen 29 mars 1962",Artikel med skiss i Arbetet 4 april  och 20 nov1942
0405,M,Malmö,,Kulturföreningen Folkets Park,1992,Malmö Folkets Park,kommunalt,kommun,Folkets park 2,Amiralsgatan 35,,,1892 (1891),inne i tätortsbebyggelse,,"teatersalong inomhus 1939, dansbana 1944, danspalats Amiralen 1939, nöjeshus Moriskan 1903","Kulturarrangemang, övriga verksamheter drivs av företag och föreningar",,"Julfacklan 1898 s. 17-19 ill Sveriges första Folkets Park  (1918, 1926). Fyra decennier  (1930) Karin Winter: Hus för folket. En inventering av Folkets Hus och Folkets",Arbetarrörelsens arkiv i Malmö c:a 14 hm ARAB [samling]: Organisationsklipp vol. 12,"FHP-enkät, SF, inventering  Malmö, FPC, AAM, Arbetet 26 maj 1957, Piteå Tidningen 29 mars 1962","FPC: invigd 26 april 1891. Först hyrdes parken, något år senare köptes den av Malmö arbetareorganisationer. 1991 köptes parken av Malmö kommun och döptes om till Malmöparken"
0406,W,Malung,Malung,Malungs Folkets husförening,,Malungs Folkets Hus,ideell förening,"fackförening, arbetarekommun",Boken 11,Skolgatan 2,,,1970,inne i tätortsbebyggelse,,,,,,,"FHP-enkät, FAW",
0407,W,Malung,Malung,Malungs Folkets parkförening,1936,Malungs Folkets Park Orrskogen,,kommunalt driftsbidrag,Grönland 59:1,,,,1936,,"Stora dansrotundan byggdes 1957, tillbyggd 1973",,,,,,"FHP, SF, FPC, FAW",
0408,AC,Malå,,,,Malå-Vännes,,,,,,,,,,,,,,,FHP,
0409,AC,Malå,,Malå biografförening,,,,,,,,,,,,,,,,,FHP,
0410,S,Arvika,Mangskog,Mangskogs Folkets Hus,1940-talet,Mangskogs Folkets Hus,ideell förening,enskilda,Rinnen 1:31,,,,ca 1953,utanför tätortsbebyggelse,,"scen, kök, danslokal",mötesverksamhet,,,Länsarkivet Karlstad (FHP) Folkrörelsernas arkiv för Värmland (NAD),"FHP-enkät, NAD",
0411,F,Eksjö,Hässleby,Mariannelunds Folkets husförening,1953,Mariannelunds Folkets Hus,ekonomisk förening upa,"fackförening, s-förening, enskilda, kommun",Staren 3,"Verdandigatan 11, Mariannelund",,,1911-1912,inne i tätortsbebyggelse,"1992-1993 tillbyggnad av serveringsdel, loge och foajé, isolering och värmeåtervinning","scen, kök, studielokal, danslokal","mötesverksamhet, teater, dans",Verdandi-lokal,,"I lokalen, NM inventering 1958 fotografier ARAB: Folkets husföreningar vol 2 [samling] klipp","FHP-enkät, NM, ARAB","Föreningen har haft tidigare FH, ett timrat trähus 1906-1913,  som blev målarverkstad"
0412,Y,Kramfors,,Mariebergs Folkets husförening,1908,Mariebergs Folkets Hus,,,,,,,,,1918 och 1922,,,,,,"FHP, SF",Fastighet inkköptes för 4.500 kr
0413,S,Karlstad,Karlstad,Mariebergsskogen AB,1997 (ombildad),Mariebergsskogen,kommunalt bolag (AB),kommun,Viken 3:1,Treffensbergsvägen,,,1925,inne i tätortsbebyggelse,"Friluftsmuseet invigt 1925 (initiativtagare Wilhelm Welin). Därefter har parken cuccessivt byggts ut, en del byggnader har (företrädesvis på 1970-talet) rivits. Utedansbanan, byggd 1933, ersattes 1971 av en modern danslokal (Holken).","friluftsscen 1943 danslokal 1971 restaurang 1964 tivoli, museala byggnader, djurstallar och djurpark, kontor, mm","teater, dans, restaurang, tivoli, minidjurpark (lantdjur), friluftsmuseum","Ursprungligen herrgård, donerad 1896 till Karlstad stad","Friluftsmuseet Mariebergsskogen 75 år, Lennart Edberg, Karlstad, 2000","I lokalen och kommunarkiv protokoll, korrespondens, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier, affischer","FHP-enkät, FPC",
0414,X,Söderhamn,Söderala,Folkets Hus Marmaverken upa,1937,Marma Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, enskilda",Myskje 5:66,Lötgärdesv. 9,,Marma Långrör AB,1961,inne i tätortsbebyggelse,Ombyggnad från bibliotek till kafeteria 1970-talet,"scen, biograf, kök, studielokal, föreningsexpedition, danslokal","mötesverksamhet, teater, dans",,,"I lokalen: protokoll, räkenskaper, verksamhetsberättelser, ritningar",FHP-enkät,Föreningen har haft tidigare FH på annan plats. rivet
0415,N,Kungsbacka,,Folkets Hus byggnadsförening Kungsbacka u p a,1927,Kungsbacka Folkets Hus,,,,,,,,,,,,,,Folkrörelsernas arkiv för norra Halland: 3 vol. 1927-1986 ARAB: Folkets Hus och Parker; övriga landet vol. 7 fragment [samling],"NAD, FA, ARAB",Föreningen har upphört
